dataset,model,accuracy,macro_f1,loss,total_params,trainable_params,active_params_estimated,active_param_ratio,dense_equivalent_flops,effective_flops,cpu_latency_p50_ms,cpu_latency_p90_ms,cpu_latency_p95_ms,cpu_latency_p99_ms,cpu_latency_mean_ms,cpu_throughput_samples_per_s,preprocess_policy,flow_leakage_count
cstnet_tls_1.3,DF,0.344913,0.255453,2.304203,3679386,3679386,3679386,1.0,459405850,459405850,4.9899,5.47982,5.68232,6.06723,5.029166,306.170499,DF DIR features only; ETH/IP/port/protocol/SNI excluded from model inputs; hashed bidirectional five-tuple used only for split auditing.,0
CipherSpectrum,DF,0.594949,0.591258,1.289961,3687081,3687081,3687081,1.0,459421225,459421225,5.0545,5.58171,5.72931,6.028908,5.076024,303.947774,DF DIR features only; ETH/IP/port/protocol/SNI excluded from model inputs; hashed bidirectional five-tuple used only for split auditing.,0
